여행지ID,여행지명칭,지역구분,분류,태그,내용 유형,카피라이터,홈페이지,주소,여행지 경도,여행지 위도,여행지 특징,여행지 코스소개,여행지 누적 추천수,여행지 누적 관심수,여행지 등록일,여행지 찾아가는 길,여행지 연관 계절정보
,에이스피싱호,경기,체험,기타레저,,,http://www.ptfishing.net/,경기 평택시 포승읍 서동대로 783,126.8553824,36.96027223,,"배낚시, 바다낚시, 우럭낚시, 쭈꾸미낚시, 서해안배낚시",0,0,2025-07-09 15:44,,
,칸스쿠버리조트,강원,체험,기타레저,,,,강원 양양군 현남면 인구항길 12 칸스쿠버리조트,128.761928,37.970261,,"인구에 위치한 칸스쿠버다이빙 리조트입니다.테크니컬교육 강사교육 오픈워터교육 체험다이빙 장비대여판 스쿠버다이빙,스쿠버리조트 , 스쿠버 , 인구 , 양양 , 다이빙 , IANTD , 스쿠버교육 , 스쿠버투어 , 체험다이빙 펀다이빙, 테크니컬다이빙",0,0,2025-07-09 15:44,,
,보홀 조이다이브,제주,체험,기타레저,,,http://blog.naver.com/joydivejeju,"제주 서귀포시  중산간동로 8383 (서호동, (주)대지)",126.52125,33.260806,,"""오픈워터/어드밴스드자격증400,000원EFR/레스큐600,000원펀다이빙(전용보트다이빙/섬다이빙)100,000원PADI 다이브마스터1,500,000원""",0,0,2025-07-09 15:44,,
,해운대요트투어 요트데이,부산,체험,기타레저,,,http://yachtisland.co.kr,부산 해운대구 해운대해변로 84 요트경기장 5번 게이트,129.140649,35.160666,,"※코로나 확산 방지를 위하여 불특정다수가 이용하는 퍼블릭 요트투어는 운영하지 않습니다.※54피트 대형 파워요트로 넉넉한 공간에서 안전하고 편안한 요트투어를!!※친절하고 해양지식이 풍부한 선장 및 항해사의 지원과 함께 해운대,광안리의 일몰과 마린시티, 광안대교의 야경은 여러분들의 가슴에 평생 잊지못할 추억으로 남도록 저희 요트아일랜드는 최선을 다하겠습니다.",0,0,2025-07-09 15:44,,
,오투펜션,부산,체험,기타레저,,,,부산 기장군 장안읍 해맞이로 270,129.268025,35.321899,,"부산 서핑체험,1회 50000원 국내여행 속 다양한 즐거움!오션뷰 오투펜션까지!저희 오투서핑은 백사장 바로 앞에 위치하고 있습니다.초보강습에서 전문가 과정까지 고객의 니즈에 부응하는 강습체계를 갖추고 있으며, 편안한 카페같은 공간과 휴게실, 샤워실등이 있습니다.또한 오투펜션이 함께하고 있어 숙박이 필요한 경우 윈스탑으로 이용하실 수 있습니다.",0,0,2025-07-09 15:44,,
,서프홀릭 다대포,부산,체험,기타레저,,,,"부산 사하구  다대로 704 (다대동, 몰운대종합시장상가)",128.964609,35.048733,,제로페이,0,0,2025-07-09 15:44,,
,마우이스포츠,울산,체험,기타레저,,,,울산 울주군 서생면 진하6길 20-3,129.346184,35.385309,,"윈드서핑(2시간/3회): 200,000원서핑(1시간교육/1시간 자유): 50,000원SUP (1시간/교육포함): 20,000원카이트보딩(1시간당/교육포함): 50,000원딩기요트(2시간/3회강습): 300,000원sup/서핑(2시간/각1시간): 50,000원",0,0,2025-07-09 15:44,,
,코마린요트,강원,체험,기타레저,,,https://blog.naver.com/fcm2/222686848105,강원 속초시  엑스포로 10-29 (조양동),128.593274,38.191262,,"세일요트 A코스 대인: 20,000원세일요트 B코스 대인: 36,000원세일요트 A코스 소인: 14,000원세일요트 B코스 소인: 24,000원세일요트 렌탈시간 1시간: 250,000원파워요B코스 대인: 36,000원파워요트 B코스 소인: 24,000원파워요트 렌탈 1시간: 250,000원파워요트 렌탈 2시간: 400,000원파워요트 렌탈 4시간: 750,000원",0,0,2025-07-09 15:44,,
,에이앤티레저 제트보트,강원,체험,기타레저,,,https://atl3355.wixsite.com/mysite,강원 속초시  대포항희망길 93-16 (대포동),128.609551,38.174542,,"강원 속초시  대포항희망길 93-16 (대포동) 30,000~60,000만원: 변동",0,0,2025-07-09 15:44,,
,장생포고래박물관,울산,관광지,기타관광지,,,http://www.whalecity.kr,"울산 남구  장생포고래로 244 (매암동, 장생포고래박물관)",129.380958,35.502657,,,0,0,2025-07-09 15:44,,
,원할머니보쌈족발 부산광안점,부산,음식점,기타,,,http://bossam.co.kr/,부산 수영구  광일로 10 (광안동),129.113068,35.162193,,"세대를 이어가는 정성의 맛 1975년, 청계8가 황학동 끝자락에 작고 소박한 보쌈집으로 시작한 원할머니보쌈 그 시절, 김보배 할머니의 비법과 마음을 고스란히 3대에 걸쳐 정성의 맛으로 이어가고 있습니다.40여년 세월의 노하우로 삶아낸 담백한 보쌈고기와 매일 아침 한잎 한잎 정성껏 말아 만든 보쌈김치로 건강한 식사를 제공할 것을 약속드리겠습니다.",0,0,2025-07-09 15:44,,
,제주오성 순살갈치조림 제주도 중문 본점,제주,음식점,기타,,,https://m.blog.naver.com/learning2021,제주 서귀포시  중문관광로 27 (색달동),126.414676,33.255695,,"안심식당은 덜어먹기 가능한 도구 비치・제공, 위생적 수저관리, 종사자마스크 착용을 준수하는 곳으로 소재지 지자체의 인증을 받은 음식점 입니다.",0,0,2025-07-09 15:44,,
,마추깡 카페,강원,음식점,기타,,,,강원 고성군 거진읍 해오름해변길 117 명태웰빙타운 2층,128.45395,38.438871,,강원도 고성군 거진읍 명태고장인 곳에서 명태 곤지 알 세가지를 넣고 구수한 장육수를 내어 옛날고향맛낸 명태장칼국수,0,0,2025-07-09 15:44,,
,영천횟집 탑동본점,제주,음식점,기타,,,http://064-752-4285.ezbuilder.co.kr,제주 제주시  서부두길 22 (건입동),126.52847,33.51825,,자연산회: 변동,0,0,2025-07-09 15:44,,
,마라도회조개구이,인천,음식점,기타,,,,인천 중구  용유서로423번길 15 (을왕동),126.370261,37.456027,,"커플세트(2인기준): 80,000원왕산세트(3~4인기준): 130,000원돌고래모듬세트(3~4인기준): 190,000원",0,0,2025-07-09 15:44,,
,대진횟집1호점,제주,음식점,기타,,,,제주 제주시  서부두길 16 (건입동),126.528276,33.517639,,"제주 특산물인 갈치, 고등어, 전복요리가 대표 메뉴인 횟집입니다. 다금바리, 돌우럭, 벵에돔, 쥐치 등의 다양한 자연산 횟감들도 만나볼 수 있는 곳이지요.회를 주문하면 각종 반찬들과 튀김, 구이, 탕 메뉴등이 함께 제공됩니다.",0,0,2025-07-09 15:44,,
,제주해녀할매,부산,음식점,기타,,,https://yeonhwareefood.modoo.at,부산 기장군 기장읍 연화1길 205,129.227113,35.219021,,"전복죽: 10,000원굴죽: 10,000원전복회 중: 30,000원전복철판구이 중: 30,000원",0,0,2025-07-09 15:44,,
,에이치모먼트호텔 송정점,부산,숙박,기타숙박,,,https://easternamberhotel.modoo.at,부산 해운대구 송정해변로 8-8 (송정동),129.20506,35.181442,,"부산광역시 해운대구 송정에 위치한 EASTERN AMBER HOTEL은 넓고 감각적인 객실 디자인, 최고의 시설 및 서비스, 동부산관광단지테마파크와 최근접 거리인 송정 해수욕장에 위치한 호텔로서 비즈니스 고객은 물론 내·외국인 관광객들을 위한 최적의 부티크 관광호텔입니다.",0,0,2025-07-09 15:44,,
,유니호텔 제주,제주,숙박,기타숙박,,,https://unihotel.co.kr,제주 제주시 애월읍 애월해안로 656,126.373456,33.479476,,"제주도 애월 바다를 바라보며 따뜻한 온수풀에서 몸을 녹일 수 있으니, 이보다 낭만적인 여행이 있을까푸른 하늘 아래 바다를 바라보며 일상에 지친 당신의 마음에 여유와 휴식을 찾아드리는 유니호텔제주모든 스위트 객실 정면에 펼쳐지는 아름다운 애월오션뷰와 쭉 뻗어 시원한 애월해안도로가 한 장의 그림 같은 전망을 보여 주는 유니호텔제주입니다.제주 애월 오션뷰 객실에서 바라보는 쪽빛 바다는 힐링 그 자체입니다. 야자수 너머로 보이는 푸른 애월 바다, 올레길 16코스를 품은 유니호텔제주를 선택해주신 모든분들께 감사드립니다. 루프탑 풀빌라와 스파 스위트, 오션뷰 디럭스는 여행객의 사랑을 받는 BEST PICK.",0,0,2025-07-09 15:44,,
,레드하우스,부산,숙박,기타숙박,,,http://www.redhouseairbnb.modoo.at,부산 수영구  민락본동로11번길 79 (민락동),129.124567,35.156555,,"에어비앤비 사이트에서도 확인할 수 있습니다. 예약은 에어비앤비를 이용하여 예약해 주시면 감사하겠습니다. 집 전체를 사용할 수 있는 독채 입니다. 1층, 2층, 3층, 4층 독립적으로 예약 가능하며 1,2층/ 3,4층 통채로도 예약 가능 합니다. 1,2층은 최대 18명, 3,4층은 최대 25명까지 숙박할 수 있습니다. 청소년 즉 만 19세 이하 단체일 경우 다음 두가지 중 반드시 한가지를 충족 해야 합니다.1. 담당 지도 교사 또는 학부모, 2. 청소년들만 방문할 경우 반드시 부모님의 동의서를 휴대폰에 저장해서 오셔야 하며 이성 혼숙 불가 입니다. 직접 확인 합니다.1층 -> 약 15평(최대 7명), 2층 -> 약 25평(최대 12명), 3층 -> 약 25평 최대 8명, 4층 -> 약 47평 최대 16명, 1,2층 최대 18명, 3,4층 최대 25명입니다.숙소기준 걸어서 30초 -> 광안리 해수욕장, 민락회타운, 자이마트(대형 편의점), 민락동 골목시장, 41번 버스 종점, 민락골목시장숙소기준 걸어서 5분 -> 부산 시티버스 광안리 해변 주차장, 수변공원, 갈맷길, 광안역은 도보 15분숙소기준 걸어서 20분 -> 해운대 영화의전당, 신세계백화점",0,0,2025-07-09 15:44,,
,JR큐슈고속선,부산,관광지,기타관광지,,,http://www.jrbeetle.com/ko,부산 동구 충장대로 206 3층 JR큐슈고속선,129.049157,35.117754,,부산~후쿠오카/대마도를 운항하는 고속선 비틀(BEETLE),0,0,2025-07-09 15:44,,
,해운대유람선,부산,관광지,기타관광지,,,http://www.mipocruise.co.kr,부산 해운대구  달맞이길62번길 33-1 (중동),129.170646,35.158417,,미포 선착장에서 출항하는 해운대유람선. 오륙도해상투어 + 광안대교야경투어 모두 즐겨보자!,0,0,2025-07-09 15:44,,
,코자자호텔,부산,숙박,기타숙박,,,https://www.tripadvisor.co.kr/Hotel_Review-g297884-d8672691-Reviews-Kozaza_Hotel-Busan.html,부산 서구  송도해변로 185 (암남동),129.022632,35.077675,,"와이파이, 무료영화, 주차, 바닷가, 해수욕장",0,0,2025-07-09 15:44,,
,문암해변,강원,관광지,기타관광지,,,https://www.gwgs.go.kr/prog/tursmCn/tour/sub02_02/view.do?cntno=71,강원도 고성군 죽왕면 괘진길 63,128.54963,38.296382,,"""2021년 문암해수욕장 개장일은 7월 16일이며, 폐장일은 8월 22일이다. 초생달 모양의 해안선으로 형성된 해변으로서 유영폭이 길고 수심이 낮아 어린이가 있는 가족단위 피서객이 즐길수 있는 곳으로1991년 개장된 이래 매년 해변과 백사장이 사계절 운영된다. 인근에 문암항구가 있어 싱싱한 활어회를 맛볼수 있는 곳이다. 매년 하절기 7 ~ 8월일반해변 -> 06:00~24:00 / 마을관리해변 -> 06:00~22:00""",1,0,2025-07-09 15:44,,
,아셀키즈,인천,숙박,기타숙박,,,,인천광역시 강화군 길상면 해안남로 1638-1 (얄리얄라),126.441856,37.596807,,객실 : 7규모 : 491.79㎡,0,0,2025-07-09 15:44,,
,뉴안흥호,충남,체험,기타레저,,,,충청남도 홍성군 서부면 남당항로 19,126.489955,36.532482,,,0,0,2025-07-09 15:44,,
,천년학힐링타운,강원,관광지,기타관광지,,,https://www.samcheok.go.kr/tour/01458/01499/02247.web?amode=view&idx=187&,강원도 삼척시 원덕읍 사곡길 43-127 (힐링타운관리소),129.296806,37.141456,,"2018년 생물자원보전시설(환경부지정 제18호)로 지정된 두루미마을(삼척자연생태공원)은 두루미를 비롯하여 다양한 동식물을 보유하고 유아와 청소년들을 위한 체험프로그램을 운영하고 있습니다.닥터피시, 자전거체험, 동물 먹이주기 체험과 여유로운 휴식을 취하며 생물의 다양성을 느낄 수 있는 곳입니다. (출처 : 삼척시청)",0,0,2025-07-09 15:44,,
,한려해상국립공원동부사무소 통영분소,경남,관광지,기타관광지,,,,경상남도 통영시 산양읍 산양일주로 1111,128.401486,34.769715,,달아전망대 주차장에 위치한 탐방지원센터 입니다.,0,0,2025-07-09 15:44,,
,강구어시장,경북,쇼핑,기타쇼핑,,,,경상북도 영덕군 강구면 강구시장1길 1-13,129.37956,36.358284,,"대게의 집산지로 유명한 경상북도 영덕군 강구면에서 열리는 5일장으로, 강구버스터미널 근처에서 장이 선다.옛날에는 대게가 주거래 품목이었지만 강구항과 축산면의 대게마을을 중심으로 주로 농산품과 생필품·해산물들이 거래되고 있다. 장날은 3·8·13·18·23·28일이며, 50여 개의 점포가 있다. 강구장은 강구항, 삼사공원과 인접한곳으로 공원과 청정해역을 찾는 관광객들이 많다. 장날이 되면 생선회를 비롯한 신선한 생선들을 찾는 관광객으로 붐비고 있다. 특히 동해안에서 잡히는 수산물중 전국적으로 이름난 영덕 대게의 주산지가 바로 이곳 이다. 영덕대게는 다리마디의 생김새가 대나무와 흡사하여 대게라고 하며 지방질이 적어 담백하고 독특한 향미가 있어 관광객들이 선호하는 고급어종이다.",0,0,2025-07-09 15:44,,
,태안동부시장,충남,쇼핑,기타쇼핑,,,http://blog.naver.com/tstmp,충청남도 태안군 태안읍 시장4길 18,126.298468,36.751359,,태안의 특산물을 널리 홍보 판매하는 태안군 최대의 시장으로 최첨단 지붕 아케이드와 함께 문화관광형 시장으로 발돋움하여 고객과 더욱 가까워진 태안 경제의 메카로 자리매김 하였습니다. ( 출처 : 태안군청 ),0,0,2025-07-09 15:44,,
,한서대학교 해양스포츠교육원,충남,관광지,기타관광지,,,https://humarine.or.kr/,충청남도 태안군 남면 곰섬로 314,126.300469,36.593932,,한서해양스포츠교육원은 대국민 해양스포츠 활성화 및 해양스포츠 관련 육성을 위한 지도자 및 산업인력을 양성하기 위해 설립되었다.,0,0,2025-07-09 15:44,,
,한국농어촌공사 새만금33센터,전북,관광지,기타관광지,,,,전라북도 김제시 진봉면 새만금로 1499,126.480821,35.812884,,"‘새만금(새萬金)'이란 명칭은 김제·만경(金堤·萬頃) 방조제를 더 크게, 더 새롭게 확장한다는 뜻에서 예부터 金堤·萬頃평야를 ‘金萬평야'로 일컬어 왔던 ‘금만'이라는 말을 ‘만금'으로 바꾸고 새롭다는 뜻의 ‘새'를 덧붙여 만든 신조어로, 오래 전부터 옥토로 유명한 만경·김제평야와 같은 옥토를 새로이 일구어 내겠다는 의미를 담고 있다. 1987년 11월 2일 당시 정인용 부총리 주재로 관계장관회의에서 황인성 농림수산부 장관이 처음으로 서해안 간척사업을 「새만금간척사업」이라는 이름으로 공식 사용되었다. 새만금 방조제에 대하여 새만금간척사업의 1단계 사업으로 건설된 방조제로, 1991년 11월 16일 착공한 후 19년의 공사기간을 거쳐2010년 4월 27일 준공하였다. 새만금33센터 전망대에서 새만금 방조제 풍경을 감상 할 수 있다.",0,0,2025-07-09 15:44,,
,신안자연휴양림,전남,관광지,기타관광지,,,https://blog.naver.com/parksb44/221718152126,전라남도 신안군 자은면 자은서부2길 508-77 (자은면 수련시설),125.995648,34.879126,,"신안군 다도해 해상의 중심권에 위치하여 산과 해안, 바다가 어우러진 섬의 독특한 자연경관을 조망할 수 있는 전국 최고의 해양 휴양림으로 휴양 체험 관광의 명소로 발돋움하고 있는 곳이며 다도해 자연휴양림에는 길이 2km, 폭 300m의 양산해수욕장이 위치해 있어 산림욕과 해수욕을 동시에 즐길 수 있는 전국 유일의 자연휴양림",0,0,2025-07-09 15:44,,
,다산명가 찻집,전남,음식점,기타,,,https://blog.naver.com/gangjingun/220032147571,전라남도 강진군 도암면 다산초당길 68,126.747306,34.579218,,"다산초당 입구에 위치한 다산명가는 前강진 군수가 운영하는 곳으로 다도와 함께 다산 정신에 대한 가르침도 배울 수 있는 곳메뉴 - 한우곰탕, 우거지탕, 비빔밥 7,000원(출처 : 강진군)",0,0,2025-07-09 15:44,,
,고복수음악관,울산,관광지,기타관광지,,,,울산광역시 중구  중앙1길 9 (성남동),129.31974,35.556263,,"이용시간 - 매일 10:00 - 18:00월요일 휴무고복수 음악관은 우리 민족의 애환을 노래하며 대변했던 국민가수 고복수 선생을 기리기 위하여 조성되었다. 1층은 민족 항일기부터 1950년대 말까지 활약한 고복수 선생의 성공, 사랑 이야기 등 인생여정을 느낄 수 있는 전시 공간으로 구성되었고, 2층은 활동 당시의 무대공간 컨셉의 복고풍 카페로 과거의 향수와 함께 커피를 맛볼 수 있다. 고복수 음악관은 청춘 고복수 재즈길과 함께 3·40년대의 향수를 오롯이 느낄 수 있어 남녀노소 관광객에게 인기가 높다.(출처 : 울산중구문화관광)",0,0,2025-07-09 15:44,,
,장생포고래문화마을고래이야기길,울산,관광지,기타관광지,,,,울산 남구 매암동 209-8,129.383069,35.50588,,장생포의 청춘을 테마로 560m 구간의 골목길장생포복지문화센터 뒤편에 자리 잡은 장생포 추억의 고래 이야기길 입구에는 고래꼬리를 형상화한 마을 게이트가 설치되어 있다.(출처 : 울산광역시 울산누리),0,0,2025-07-09 15:44,,
,168계단,부산,관광지,기타관광지,,,,부산광역시 동구  영초길191번길 8-1 (초량동),129.035464,35.117227,,"산복도로에서 부산항까지 가장 빨리 내려갈 수 있는 지름길이다. 산복도로의 대표적인 특징중 하나인 세로로 난 지상6층 높이의 아찔한 계단이다. 계단의 수가 168개이며 계단 아래에 원래 3개의 우물이 있었다고 한다.현재는 식수로 쓰던 1개의 우물만 남아있으며 물이 부족하던 시절 물을 받기 위해 길게 줄을 서있는 모습을 상상해 볼 수 있다. 물지게, 물항아리 등 남녀노소 누구나 만나는 만남의 장이었으며 소문이 퍼지는 근원지였다.",0,0,2025-07-09 15:44,,
,통일공원함정전시관,강원,관광지,기타관광지,,,,강원도 강릉시 강동면 율곡로 1616 (함정전시관),129.004521,37.718404,,"강릉 통일공원은 안인항과 등명해수욕장 사이에 위치하고 있다. 1996년 강릉 무장공비 침투사건을 계기로 대국민 안보의식 고취를 목적으로 조성된 이곳은 통일안보전시관, 함정전시관으로 나뉘어있으며, 강릉 안보교육장의 역할을 하고 있다. 동해바다를 보며 등산을 하는 안보등산로와 강릉의 명소들과 인접해있다. (출처 : 강원도청)",0,0,2025-07-09 15:44,,
,넥스텔모텔,전북,숙박,여관/모텔,25000,해양레저DB,,전라북도 고창군 고창읍 월암수월길 112 (넥스텔),126.721552,35.431261,,"수천년의 역사가 살아 숨쉬는 역사의 고인돌의 고장 고창군에 위치한 넥스텔은 리모델링으로 깨끗하게 새단장하여 친절함으로 손님을 맞이한다. 시내에서 조금 벗어나 확트인 시야와 맑은 공기를 선사하여 시원함과 상쾌함을 안겨준다. 고창의 많은 볼거리로는 유네스코지정 세계문화유산인 고인돌유적과 호남의 내금강으로 불리우는 선운산, 외침방어를 위해 축성한 자연석 성곽 고창읍성들을 둘러보며 마음의 정화를 얻어가길 바란다.",0,0,2025-07-09 15:44,,
,더리미집숯불장어,인천,음식점,기타,,,,인천광역시 강화군 선원면 해안동로 1219,126.5131897,37.72320551,,"※ 영업시간 10:00 ~ 21:00 [중소벤처기업부 2018년도 '백년가게'로 선정]직접 담근 고추장과 20여 가지 재료를 넣어 만든 양념장에 세계 5대 갯벌인 강화갯벌을 막아서 만든 어장에서 새우,칠게 등 각종 어류의 치어를 먹고 자연스레 자라는 강화 갯벌 장어만을 취급하는 숯불장어구이 전문점이다.2층 건물로 1층은 좌식테이블, 2층은 의자식테이블로 이용 가능하며 바다가 가까워 2층에서 전망을 감상하며밥 먹는 것을 즐기기 좋은 곳으로 맛과 경치를 한 번에 즐길 수 있다. 민물장어로 장어정식, 평일특선 장어덮밥을 메뉴로 포함하여 저렴한 가격으로도 장어를 맛 볼 수있다. 50여 대 주차 가능한 넓은 주차장이 앞에 있어멀리서 차를 가지고 온 고객들도 편리하게 이용할 수 있다. 화장실:업소내 위치",0,0,2025-07-09 15:44,,
,국일복아구,전북,음식점,기타,,,,전라북도 군산시 평화길 99-4(죽성동),126.7166486,35.98616505,,"정보제공 : 군산시청 (Tel : 063-545-3332) 군산시 죽성동에 위치한 해물요리 전문점이다. 복찜, 아구찜, 홍오찜의 찜요리와 아구탕, 우럭탕등의 탕요리를 판매하는 곳으로 푸짐한 양과 시원한 국물이 일품인 곳이다. 소주한잔하기 좋은 곳이며, 해장하기 좋은 곳이다.",0,0,2025-07-09 15:44,,
